sample_id,cs_flow_rate,pb_flow_rate,temperature,residence_time,plqy,emission_peak,fwhm,quality_class,pl_peak_wavelength,pl_peak_intensity,pl_integrated_intensity,pl_fwhm_calculated,abs_edge_wavelength,abs_peak_intensity,abs_integrated,stokes_shift,pl_symmetry,baseline_level
0,1.27,0.68,182.7,233.4,0.5767,515.79,39.57,fair,516.4705882352941,1.0,57.909166136556564,42.35294117647055,400.0,1.0,125.46866350376979,116.47058823529414,0.8883616926359055,0.07488057187792456
1,0.6,0.96,190.0,120.0,0.5104,518.38,39.68,fair,517.6470588235294,1.0,69.86621721209912,41.17647058823536,400.0,1.0,123.93564932972004,117.64705882352939,0.8589934215898126,0.10797686276191736
2,0.91,0.79,105.9,132.8,0.6144,518.15,35.33,good,515.2941176470588,1.0,54.498840435293445,36.470588235294144,400.0,1.0,121.85634203693877,115.29411764705878,0.8077202507773661,0.08753051904420842
3,0.6,1.6,153.6,153.3,0.476,518.24,40.71,fair,520.0,1.0,64.00515428528318,43.529411764705856,400.0,1.0,126.33383792445974,120.0,0.960135578725391,0.059463457209186575
4,1.03,0.82,173.8,82.0,0.92,514.75,22.9,excellent,512.9411764705883,1.0,32.30621662307361,22.35294117647061,400.0,1.0,122.1277964536367,112.94117647058829,0.8249289344159434,0.03431701885456607
5,0.87,0.81,141.0,85.9,0.92,514.24,23.47,excellent,515.2941176470588,1.0,33.80091579459709,22.35294117647061,400.0,1.0,120.73057199873779,115.29411764705878,0.9991947852810688,0.03356074472912337
6,0.6,1.6,175.5,203.3,0.5618,517.93,38.7,fair,515.2941176470588,1.0,61.12476389962048,37.64705882352939,400.0,1.0,122.8755496742851,115.29411764705878,0.7978738602765223,0.08027630981427772
7,1.53,1.78,130.9,111.8,0.7709,517.72,31.5,excellent,515.2941176470588,1.0,48.580922466758665,32.94117647058823,400.0,1.0,123.3750372089409,115.29411764705878,0.8072224507276237,0.05315314802933957
8,0.6,0.7,153.6,153.3,0.8362,516.33,27.45,excellent,516.4705882352941,1.0,39.77429788559306,25.882352941176464,400.0,1.0,124.25439167566682,116.47058823529414,0.9140096863608542,0.036904226563260804
9,1.12,1.63,164.1,218.9,0.5981,518.13,36.26,fair,520.0,1.0,59.43092757590777,37.64705882352939,400.0,1.0,124.27367336971226,120.0,0.9535195119843717,0.07903990877970196
10,0.6,0.7,146.4,170.0,0.7983,513.99,25.94,excellent,512.9411764705883,1.0,37.7119032606447,25.882352941176407,400.0,1.0,123.78042543285602,112.94117647058829,0.8596007517876563,0.03848586045866559
11,1.09,1.2,193.1,168.4,0.7726,515.59,29.12,excellent,518.8235294117648,1.0,46.34488030824632,30.58823529411768,400.0,1.0,125.30613696715224,118.82352941176475,0.944860853438554,0.05408934737882528
12,0.76,0.83,131.8,203.3,0.92,510.83,28.73,excellent,510.5882352941177,1.0,39.54049226350607,28.235294117647072,400.0,1.0,120.0939237004239,110.58823529411768,0.9093177944004702,0.03567374208447056
13,0.6,1.21,182.7,136.7,0.5695,518.32,36.06,fair,520.0,1.0,62.33340098154898,40.00000000000006,400.0,1.0,129.1518552303671,120.0,0.930140657119483,0.07755197731305216
14,0.6,1.09,117.3,136.7,0.5515,518.45,39.85,fair,516.4705882352941,1.0,63.15269399768276,40.00000000000006,400.0,1.0,123.7512773878383,116.47058823529414,0.8315034842933298,0.06754726440371735
15,0.6,0.96,131.8,153.3,0.5148,518.63,42.63,fair,521.1764705882354,1.0,65.06816972304354,44.70588235294122,400.0,1.0,126.85886692943616,121.17647058823536,0.9764357378882165,0.07580746266155594
16,0.6,1.47,124.5,170.0,0.4256,519.01,45.44,fair,521.1764705882354,1.0,90.55767870418705,80.00000000000006,400.0,1.0,125.23630537203331,121.17647058823536,0.9160171010755187,0.11548776778890513
